city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,airports-3rddegree,airports-airblast1,airports-airblast5,airports-fireball,bases-3rddegree,bases-airblast1,bases-airblast5,bases-fireball,capitals-3rddegree,capitals-airblast1,capitals-airblast5,capitals-fireball,cities-3rddegree,cities-airblast1,cities-airblast5,cities-fireball,earthquakes10,earthquakes20,earthquakes50,earthquakes70,hurricanes-200-land,hurricanes-400-land,hurricanes-50-land,hurricanes-650-land,ports-3rddegree,ports-airblast1,ports-airblast5,ports-fireball,power-3rddegree,power-airblast1,power-airblast5,power-fireball,railyard-3rddegree,railyard-airblast1,railyard-airblast5,railyard-fireball,silo-3rddegree,silo-airblast1,silo-airblast5,silo-fireball,tornado10,tornado25,tornado40,tornado65,wildfires-1,wildfires-2,wildfires-3,wildfires-4
Renton,Renton,WA,Washington,"53033",King,"47.4758","-122.1905","101379","101379","1671",polygon,True,America/Los_Angeles,98059 98058 98057 98056 98055,"1840019827","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Mercer Island,Mercer Island,WA,Washington,"53033",King,"47.5625","-122.2265","25261","25261","1529",polygon,True,America/Los_Angeles,"98040","1840019830","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lynnwood,Lynnwood,WA,Washington,"53061",Snohomish,"47.8285","-122.3034","38273","38273","1886",polygon,True,America/Los_Angeles,98037 98036 98046,"1840019788","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Centralia,Centralia,WA,Washington,"53041",Lewis,"46.7226","-122.9695","41643.0","17216","884",polygon,True,America/Los_Angeles,"98531","1840018471","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Mountlake Terrace,Mountlake Terrace,WA,Washington,"53061",Snohomish,"47.7920","-122.3076","21337","21337","2021",polygon,True,America/Los_Angeles,"98043","1840019792","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Seattle,Seattle,WA,Washington,"53033",King,"47.6211","-122.3244","3643765.0","724745","3337",polygon,True,America/Los_Angeles,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,"1840021117","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Oak Harbor,Oak Harbor,WA,Washington,"53029",Island,"48.2965","-122.6330","34663.0","23187","934",polygon,True,America/Los_Angeles,"98277","1840019779","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Anacortes,Anacortes,WA,Washington,"53057",Skagit,"48.4878","-122.6292","17955.0","16953","559",polygon,True,America/Los_Angeles,"98221","1840018366","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Grandview,Grandview,WA,Washington,"53077",Yakima,"46.2431","-119.9084","18858.0","11129","670",polygon,True,America/Los_Angeles,98935 98930,"1840019871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Kelso,Kelso,WA,Washington,"53015",Cowlitz,"46.1248","-122.8908","12130","12130","580",polygon,True,America/Los_Angeles,98626 98632,"1840018503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Cheney,Cheney,WA,Washington,"53063",Spokane,"47.4902","-117.5789","12421.0","12446","1106",polygon,True,America/Los_Angeles,"99004","1840018398","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Lacey,Lacey,WA,Washington,"53067",Thurston,"47.0450","-122.7931","49748","49748","1168",polygon,True,America/Los_Angeles,98516 98503 98509,"1840019866","1","1","0","0","1","1","1","0","1","1","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Edmonds,Edmonds,WA,Washington,"53061",Snohomish,"47.8114","-122.3533","42209","42209","1829",polygon,True,America/Los_Angeles,98026 98020,"1840037645","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lake Forest Park,Lake Forest Park,WA,Washington,"53033",King,"47.7596","-122.2879","13392","13392","1469",polygon,True,America/Los_Angeles,"98155","1840019837","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Yakima,Yakima,WA,Washington,"53077",Yakima,"46.5923","-120.5496","133233.0","93667","1302",polygon,True,America/Los_Angeles,98901 98903 98902 98908 98904 98907,"1840021154","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lynden,Lynden,WA,Washington,"53073",Whatcom,"48.9503","-122.4544","17340.0","14259","1019",polygon,True,America/Los_Angeles,"98264","1840019752","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
