City,State,Score,Population,Lat,Lng
Grandview,WA,0,18858.0,46.2431,-119.9084
Marinette,WI,0,18791.0,45.0873,-87.6324
Shawano,WI,0,10158.0,44.7749,-88.5844
Riverton,WY,0,12776.0,43.0426,-108.4140
Las Vegas,NM,0,14982.0,35.6011,-105.2206
Grants,NM,0,11925.0,35.1538,-107.8335
Taos,NM,0,13571.0,36.3868,-105.5802
Artesia,NM,0,13464.0,32.8479,-104.4276
Silver City,NM,0,11882.0,32.7783,-108.2699
Española,NM,0,25913.0,36.0040,-106.0671
Roswell,NM,0,49119.0,33.3730,-104.5294
Uvalde,TX,0,18747.0,29.2153,-99.7782
Pecos,TX,0,13317.0,31.4046,-103.5056
Snyder,TX,0,11678.0,32.7133,-100.9113
Andrews,TX,0,14999.0,32.3208,-102.5520
Kerrville,TX,0,30148.0,30.0399,-99.1319
Fredericksburg,TX,0,12428.0,30.2671,-98.8757
Marion,NC,0,13026.0,35.6777,-82.0017
Hendersonville,NC,0,13954,35.3240,-82.4578
Boone,NC,0,25532.0,36.2111,-81.6669
Brevard,NC,0,13603.0,35.2438,-82.7264
Mount Airy,NC,0,19164.0,36.5083,-80.6157
Lenoir,NC,0,17943,35.9096,-81.5247
Morganton,NC,0,16519,35.7407,-81.7002
North Wilkesboro,NC,0,18393.0,36.1729,-81.1391
Newport,TN,0,11343.0,35.9617,-83.1977
Canandaigua,NY,0,10289,42.8885,-77.2805
Auburn,NY,0,31126.0,42.9338,-76.5685
Hornell,NY,0,10545.0,42.3258,-77.6605
Cortland,NY,0,26769.0,42.6004,-76.1784
Jamestown,NY,0,41236.0,42.0975,-79.2366
Ithaca,NY,0,55439.0,42.4442,-76.5032
Somerset,PA,0,11918.0,40.0049,-79.0778
Placerville,CA,0,31260.0,38.7309,-120.7979
Mesquite,NV,0,17337.0,36.8035,-114.1325
Alamosa,CO,0,10963.0,37.4755,-105.8770
Fort Morgan,CO,0,13137.0,40.2549,-103.7913
Silverthorne,CO,0,18396.0,39.6564,-106.0871
Durango,CO,0,19662.0,37.2744,-107.8701
Safford,AZ,0,19302.0,32.8318,-109.7005
Maricopa,AZ,0,46741.0,33.0404,-112.0005
Prescott Valley,AZ,0,97066.0,34.5982,-112.3178
Prescott,AZ,0,42731,34.5849,-112.4475
Cottonwood,AZ,0,12023,34.7194,-112.0015
Bullhead City,AZ,0,49531.0,35.1205,-114.5460
Casa Grande,AZ,0,58632.0,32.9070,-111.7624
Chino Valley,AZ,0,11667.0,34.7593,-112.4107
Lake Havasu City,AZ,0,55341.0,34.5006,-114.3115
Camp Verde,AZ,0,11201,34.5699,-111.8573
Hailey,ID,0,10875.0,43.5133,-114.3010
Rexburg,ID,0,29859.0,43.8220,-111.7926
Sandpoint,ID,0,12349.0,48.2832,-116.5613
Blackfoot,ID,0,15382.0,43.1940,-112.3455
Cambridge,OH,0,14911.0,40.0221,-81.5868
Jackson,OH,0,11502.0,39.0460,-82.6493
Athens,OH,0,29926.0,39.3269,-82.0988
Vernal,UT,0,19613.0,40.4517,-109.5379
Hibbing,MN,0,11389.0,47.3981,-92.9487
Cambridge,MN,0,15486.0,45.5612,-93.2282
Winona,MN,0,29973.0,44.0509,-91.6689
Fergus Falls,MN,0,12673.0,46.2854,-96.0759
Marshall,MN,0,13494.0,44.4489,-95.7897
Hutchinson,MN,0,13773.0,44.8854,-94.3773
Bemidji,MN,0,16733.0,47.4830,-94.8788
Houghton,MI,0,15812.0,47.1123,-88.5679
Mount Pleasant,MI,0,37206.0,43.5966,-84.7759
Big Rapids,MI,0,13941.0,43.6992,-85.4803
Traverse City,MI,0,49806.0,44.7547,-85.6035
Iron Mountain,MI,0,18568.0,45.8277,-88.0604
Ontario,OR,0,24738.0,44.0259,-116.9760
Watertown,SD,0,21837.0,44.9096,-97.1536
